Gene,Transcript
APOL1,NM_003661.4
APOL2,NM_030882.4
APOL3,NM_145639.2
APOL4,NM_001386885.1
APOL5,NM_030642.1
APOL6,NM_030641.4
APOM,NM_019101.3
APOO,NM_024122.5
APOOL,NM_198450.6
APP,NM_000484.4
APPL1,NM_012096.3
APPL2,NM_018171.5
APRT,NM_000485.3
APTX,NM_001195248.2
AQP1,NM_198098.4
AQP10,NM_080429.3
AQP11,NM_173039.3
AQP12A,NM_198998.3
AQP12B,NM_001102467.2
AQP2,NM_000486.6
AQP4,NM_001650.7
AQP5,NM_001651.4
AQP6,NM_001652.4
AQP7,NM_001170.3
AQP9,NM_020980.5
AQR,NM_014691.3
AR,NM_000044.6
ARAF,NM_001654.5
ARAP1,NM_001040118.3
ARAP2,NM_015230.4
ARAP3,NM_022481.6
ARCN1,NM_001655.5
AREG,NM_001657.4
ARF1,NM_001658.4
ARF3,NM_001659.3
ARFGAP1,NM_018209.4
ARFGAP2,NM_032389.6
ARFGAP3,NM_014570.5
ARFGEF1,NM_006421.5
ARFGEF2,NM_006420.3
ARFGEF3,NM_020340.5
ARFIP1,NM_001025595.3
ARG1,NM_000045.4
ARG2,NM_001172.4
ARGFX,NM_001012659.2
ARGLU1,NM_018011.4
ARHGAP1,NM_004308.5
ARHGAP10,NM_024605.4
ARHGAP11A,NM_014783.6
ARHGAP11B,NM_001039841.3
ARHGAP12,NM_018287.7
ARHGAP17,NM_001006634.3
ARHGAP18,NM_033515.3
ARHGAP19,NM_032900.6
ARHGAP20,NM_001384657.1
ARHGAP21,NM_020824.4
ARHGAP22,NM_021226.4
ARHGAP23,NM_001199417.2
ARHGAP24,NM_001025616.3
ARHGAP26,NM_001135608.3
ARHGAP27,NM_001282290.2
ARHGAP28,NM_001366230.1
ARHGAP29,NM_004815.4
ARHGAP30,NM_001025598.2
ARHGAP31,NM_020754.4
ARHGAP32,NM_001378024.1
ARHGAP33,NM_001366178.1
ARHGAP35,NM_004491.5
ARHGAP36,NM_144967.4
ARHGAP39,NM_025251.3
ARHGAP4,NM_001666.5
ARHGAP40,NM_001164431.3
ARHGAP42,NM_152432.4
ARHGAP44,NM_014859.6
ARHGAP45,NM_012292.5
ARHGAP5,NM_001030055.2
ARHGAP6,NM_013427.3
ARHGAP8,NM_181335.3
ARHGAP9,NM_032496.4
ARHGDIG,NM_001176.4
ARHGEF1,NM_004706.4
ARHGEF10,NM_014629.4
ARHGEF10L,NM_018125.4
ARHGEF11,NM_198236.3
ARHGEF12,NM_015313.3
ARHGEF15,NM_173728.4
ARHGEF16,NM_014448.4
ARHGEF17,NM_014786.4
ARHGEF18,NM_001367823.1
ARHGEF19,NM_153213.5
ARHGEF2,NM_001162383.2
ARHGEF26,NM_015595.4
ARHGEF28,NM_001177693.2
ARHGEF33,NM_001145451.5
ARHGEF35,NM_001003702.3
ARHGEF37,NM_001001669.3
ARHGEF39,NM_032818.3
ARHGEF4,NM_001367493.1
ARHGEF40,NM_018071.5
