Gene,Transcript
SP110,NM_080424.4
SP140,NM_007237.5
SP140L,NM_138402.6
SP3,NM_003111.5
SP4,NM_003112.5
SP6,NM_001258248.2
SP7,NM_001173467.3
SP8,NM_182700.6
SP9,NM_001145250.2
SPA17,NM_017425.4
SPACA1,NM_030960.3
SPACA3,NM_173847.5
SPACA4,NM_133498.3
SPACA7,NM_145248.5
SPAG1,NM_003114.5
SPAG11A,NM_001395484.1
SPAG11B,NM_058201.4
SPAG16,NM_024532.5
SPAG17,NM_206996.4
SPAG5,NM_006461.4
SPAG6,NM_012443.4
SPAG7,NM_004890.3
SPAG8,NM_001039592.2
SPAG9,NM_001130528.3
SPAM1,NM_153189.3
SPANXC,NM_022661.4
SPANXD,NM_032417.4
SPANXN4,NM_001009613.4
SPARC,NM_003118.4
SPARCL1,NM_004684.6
SPART,NM_015087.5
SPAST,NM_014946.4
SPATA12,NM_181727.2
SPATA13,NM_001166271.3
SPATA16,NM_031955.6
SPATA17,NM_138796.4
SPATA18,NM_145263.4
SPATA19,NM_174927.3
SPATA2,NM_006038.4
SPATA20,NM_022827.4
SPATA21,NM_198546.1
SPATA22,NM_001170698.2
SPATA2L,NM_152339.4
SPATA3,NM_139073.5
SPATA31A1,NM_001085452.4
SPATA31A3,NM_001083124.1
SPATA31A5,NM_001113541.3
SPATA31A6,NM_001145196.1
SPATA31A7,NM_015667.2
SPATA31D1,NM_001001670.3
SPATA31D3,NM_207416.3
SPATA31D4,NM_001145197.1
SPATA31E1,NM_178828.5
SPATA31F1,NM_001141917.2
SPATA31G1,NM_203299.4
SPATA31H1,NM_032266.5
SPATA32,NM_152343.3
SPATA33,NM_001271907.2
SPATA4,NM_144644.4
SPATA45,NM_001024601.3
SPATA46,NM_182581.4
SPATA6L,NM_001353486.2
SPATA7,NM_018418.5
SPATC1L,NM_001142854.2
SPATS2,NM_023071.4
SPATS2L,NM_001100423.2
SPC25,NM_020675.4
SPCS2,NM_014752.3
SPDEF,NM_012391.3
SPDL1,NM_017785.5
SPDYA,NM_182756.4
SPDYC,NM_001008778.3
SPDYE16,NM_001394943.1
SPDYE2,NM_001396242.1
SPDYE2B,NM_001166339.2
SPDYE3,NM_001004351.5
SPDYE5,NM_001306141.4
SPDYE6,NM_001146210.4
SPECC1,NM_001243439.2
SPECC1L,NM_015330.6
SPEF2,NM_024867.4
SPEG,NM_005876.5
SPEM1,NM_199339.3
SPEN,NM_015001.3
SPESP1,NM_145658.4
SPG11,NM_025137.4
SPG21,NM_016630.7
SPG7,NM_003119.4
SPHK1,NM_001142601.2
SPHK2,NM_020126.5
SPHKAP,NM_001142644.2
SPI1,NM_003120.3
SPIB,NM_003121.5
SPIC,NM_152323.3
SPICE1,NM_144718.4
SPIDR,NM_001080394.4
SPIN2A,NM_019003.5
SPIN3,NM_001010862.3
SPINK1,NM_001379610.1
SPINK13,NM_001040129.3
SPINK14,NM_001001325.2
SPINK2,NM_001271718.2
SPINK4,NM_014471.3
SPINK5,NM_006846.4
SPINK7,NM_032566.3
SPINT1,NM_003710.4
SPINT2,NM_021102.4
SPINT4,NM_178455.3
SPIRE1,NM_001128626.2
SPIRE2,NM_032451.2
SPMAP2,NM_016585.5
SPMIP3,NM_001012970.3
SPMIP6,NM_032596.4
SPMIP8,NM_199046.2
SPMIP9,NM_152670.3
SPN,NM_003123.6
SPNS1,NM_032038.3
SPNS2,NM_001124758.3
SPNS3,NM_182538.5
SPO11,NM_012444.3
SPOCD1,NM_144569.7
SPOCK1,NM_004598.4
SPOCK2,NM_001244950.2
SPOCK3,NM_001040159.2
SPON1,NM_006108.4
SPON2,NM_012445.4
SPOP,NM_001007228.2
SPOPL,NM_001001664.3
SPOUT1,NM_016390.4
SPP1,NM_001040058.2
SPP2,NM_006944.3
SPPL2A,NM_032802.4
SPPL2B,NM_152988.3
SPPL2C,NM_175882.3
SPR,NM_003124.5
SPRED1,NM_152594.3
SPRED2,NM_181784.3
SPRN,NM_001391974.1
SPRR1A,NM_005987.4
SPRR2A,NM_005988.3
SPRR2B,NM_001388198.1
SPRR2D,NM_006945.5
SPRR2F,NM_001014450.3
SPRR3,NM_001097589.2
SPRTN,NM_032018.7
SPRY1,NM_001258038.2
SPRY4,NM_001127496.3
SPSB3,NM_080861.4
SPTA1,NM_003126.4
SPTAN1,NM_001130438.3
SPTB,NM_001355436.2
SPTBN1,NM_003128.3
SPTBN2,NM_006946.4
SPTBN4,NM_020971.3
SPTBN5,NM_016642.4
SPTLC1,NM_006415.4
SPTLC2,NM_004863.4
SPTLC3,NM_018327.4
SPTY2D1,NM_194285.3
SPX,NM_030572.4
SPZ1,NM_032567.4
SQLE,NM_003129.4
SQOR,NM_021199.4
SQSTM1,NM_003900.5
SRA1,NM_001035235.4
SRBD1,NM_018079.5
SRC,NM_198291.3
SRCAP,NM_006662.3
SRCIN1,NM_025248.3
SRD5A1,NM_001047.4
SRD5A2,NM_000348.4
SRD5A3,NM_024592.5
SREBF1,NM_004176.5
SREBF2,NM_004599.4
SRF,NM_003131.4
SRFBP1,NM_152546.3
SRGAP1,NM_020762.4
SRGAP2C,NM_001329984.2
SRGAP3,NM_014850.4
SRGN,NM_002727.4
SRM,NM_003132.3
SRMS,NM_080823.4
SRP14,NM_003134.6
SRP54,NM_003136.4
SRP72,NM_006947.4
SRPK2,NM_182692.3
SRPK3,NM_014370.4
SRPRA,NM_003139.4
SRPRB,NM_001379313.1
SRPX,NM_006307.5
SRPX2,NM_014467.3
SRR,NM_021947.3
SRRD,NM_001013694.3
SRRM1,NM_005839.4
SRRM2,NM_016333.4
SRRM3,NM_001110199.3
SRRM4,NM_194286.4
SRRM5,NM_001145641.2
SRRT,NM_015908.6
SRSF1,NM_006924.5
SRSF11,NM_001350605.2
SRSF2,NM_001195427.2
SRSF4,NM_005626.5
SRSF6,NM_006275.6
SRSF8,NM_032102.4
SRY,NM_003140.3
SS18,NM_001007559.3
SS18L1,NM_198935.3
SSBP1,NM_003143.3
SSC4D,NM_080744.2
SSC5D,NM_001144950.2
SSH1,NM_018984.4
SSH2,NM_001282129.2
SSH3,NM_017857.4
SSMEM1,NM_145268.4
SSPN,NM_005086.5
SSR4,NM_006280.3
SSRP1,NM_003146.3
SST,NM_001048.4
SSTR3,NM_001051.5
SSTR4,NM_001052.4
SSTR5,NM_001172560.3
SSUH2,NM_001256748.3
SSX1,NM_005635.4
SSX2IP,NM_001166293.2
SSX3,NM_021014.4
SSX4,NM_005636.4
SSX5,NM_175723.2
SSX7,NM_173358.2
ST13,NM_003932.5
ST14,NM_021978.4
ST18,NM_001352837.2
ST3GAL1,NM_173344.3
ST3GAL2,NM_006927.4
ST3GAL3,NM_006279.5
ST3GAL4,NM_001254757.2
ST3GAL5,NM_003896.4
ST6GAL2,NM_001142351.2
ST6GALNAC1,NM_018414.5
ST6GALNAC4,NM_175039.4
ST7L,NM_017744.5
ST8SIA2,NM_006011.4
ST8SIA5,NM_013305.6
STAB1,NM_015136.3
STAB2,NM_017564.10
STAC,NM_003149.3
STAC2,NM_198993.5
STAC3,NM_145064.3
STAG1,NM_005862.3
STAG2,NM_001042750.2
STAG3,NM_001282717.2
STAM,NM_003473.4
STAM2,NM_005843.6
STAMBP,NM_213622.4
STAMBPL1,NM_020799.4
STAP1,NM_012108.4
STAP2,NM_001013841.2
STAR,NM_000349.3
STARD13,NM_178006.4
STARD3,NM_006804.4
STARD6,NM_139171.2
STARD7,NM_020151.4
STARD8,NM_001142503.3
STARD9,NM_020759.3
STAT1,NM_007315.4
STAT2,NM_005419.4
STAT3,NM_139276.3
STAT4,NM_003151.4
STAT5A,NM_001288718.2
STAT5B,NM_012448.4
STAT6,NM_003153.5
STATH,NM_003154.3
STAU1,NM_017453.4
STAU2,NM_001164380.2
STC1,NM_003155.3
STEAP2,NM_001244944.2
STEAP3,NM_182915.3
STEAP4,NM_024636.4
STH,NM_001007532.3
STIL,NM_001048166.1
STIM1,NM_001382567.1
STING1,NM_198282.4
STK10,NM_005990.4
STK11,NM_000455.5
STK11IP,NM_052902.4
STK17A,NM_004760.3
STK19,NM_004197.2
STK25,NM_001271977.2
STK26,NM_016542.4
STK31,NM_031414.5
STK32C,NM_173575.4
STK33,NM_001352389.2
STK35,NM_080836.4
STK36,NM_015690.5
STK4,NM_006282.5
STK40,NM_001282547.2
STKLD1,NM_153710.5
STMND1,NM_001190766.2
STN1,NM_024928.5
STOML1,NM_004809.5
STOML3,NM_145286.3
STON1,NM_006873.4
STON2,NM_001394390.1
STOX1,NM_152709.5
STOX2,NM_020225.3
STPG1,NM_001199013.2
STPG2,NM_174952.3
STPG3,NM_001004353.4
STRA6,NM_022369.4
STRADA,NM_001003787.4
STRC,NM_153700.2
STRN3,NM_001083893.2
STRN4,NM_013403.3
STS,NM_001320752.2
STT3A,NM_152713.5
STT3B,NM_178862.3
STUB1,NM_005861.4
STX10,NM_003765.3
STX11,NM_003764.4
STX12,NM_177424.3
STX16,NM_001001433.3
STX18,NM_016930.4
STX1A,NM_004603.4
STX1B,NM_052874.5
STX2,NM_194356.4
STX3,NM_004177.5
STX4,NM_004604.5
STX6,NM_005819.6
STX8,NM_004853.3
STXBP1,NM_001032221.6
STXBP2,NM_006949.4
STXBP3,NM_007269.4
STXBP4,NM_178509.6
STXBP5,NM_001127715.4
STXBP5L,NM_001308330.2
STYK1,NM_018423.3
STYXL1,NM_001317785.2
STYXL2,NM_001080426.3
SUCLA2,NM_003850.3
SUCLG1,NM_003849.4
SUCLG2,NM_003848.4
SUCNR1,NM_033050.6
SUCO,NM_014283.5
SUFU,NM_016169.4
SUGCT,NM_001193313.2
SUGP1,NM_172231.4
SUGP2,NM_001017392.5
SULF1,NM_001128205.2
SULF2,NM_001387048.1
SULT1A2,NM_001054.4
SULT1B1,NM_014465.4
SULT1C2,NM_001056.4
SULT1C3,NM_001320878.2
SULT1E1,NM_005420.3
SULT2A1,NM_003167.4
SULT2B1,NM_177973.2
SULT6B1,NM_001367551.1
SUMF1,NM_182760.4
SUMF2,NM_015411.4
SUMO3,NM_006936.3
SUMO4,NM_001002255.2
SUN1,NM_001130965.3
SUN2,NM_015374.3
SUN3,NM_001030019.2
SUN5,NM_080675.4
SUOX,NM_001032386.2
SUPT16H,NM_007192.4
SUPT20HL1,NM_001136234.3
SUPV3L1,NM_003171.5
SURF1,NM_003172.4
SURF2,NM_017503.5
SURF6,NM_006753.6
SUSD1,NM_022486.5
SUSD2,NM_019601.4
SUSD3,NM_145006.4
SUSD4,NM_017982.4
SUSD5,NM_015551.2
SUSD6,NM_014734.4
SUV39H1,NM_001282166.2
SUV39H2,NM_001193424.2
SUZ12,NM_015355.4
SV2A,NM_014849.5
SV2B,NM_001323032.3
SV2C,NM_014979.4
SVBP,NM_199342.4
SVEP1,NM_153366.4
SVIL,NM_021738.3
SVOPL,NM_001139456.2
SWAP70,NM_015055.4
SWSAP1,NM_175871.4
SWT1,NM_017673.7
SYAP1,NM_032796.4
SYBU,NM_001099754.2
SYCE1,NM_001143764.3
SYCE1L,NM_001129979.3
SYCE2,NM_001105578.2
SYCE3,NM_001123225.3
SYCP1,NM_003176.4
SYCP2,NM_014258.4
SYCP2L,NM_001040274.3
SYCP3,NM_001177949.2
SYDE1,NM_033025.6
SYDE2,NM_032184.2
SYF2,NM_015484.5
SYK,NM_003177.7
SYMPK,NM_004819.3
SYN1,NM_006950.3
SYN2,NM_133625.6
SYN3,NM_003490.4
SYNC,NM_030786.3
SYNCRIP,NM_006372.5
SYNE1,NM_182961.4
SYNE2,NM_182914.3
SYNE3,NM_152592.6
SYNE4,NM_001039876.3
SYNGAP1,NM_006772.3
SYNGR3,NM_004209.6
SYNGR4,NM_012451.4
SYNJ1,NM_203446.3
SYNJ2,NM_003898.4
SYNM,NM_145728.3
SYNPO,NM_007286.6
SYNPO2,NM_133477.3
SYNRG,NM_007247.6
SYP,NM_003179.3
SYT1,NM_005639.3
SYT10,NM_198992.4
SYT11,NM_152280.5
SYT12,NM_177963.4
SYT13,NM_020826.3
SYT14,NM_001146262.4
SYT15,NM_031912.5
SYT15B,NM_001370184.1
SYT16,NM_001367656.1
SYT2,NM_177402.5
SYT3,NM_001160329.2
SYT4,NM_020783.4
SYT7,NM_001365809.2
SYT8,NM_001394072.1
SYT9,NM_175733.4
SYTL1,NM_001193308.2
SYTL2,NM_206927.4
SYTL3,NM_001242394.2
SYTL4,NM_001370165.1
SYTL5,NM_138780.3
SYVN1,NM_172230.3
SZT2,NM_001365999.1
TAAR1,NM_138327.4
TAAR2,NM_001033080.1
TAAR5,NM_003967.3
TAAR6,NM_175067.1
TAAR8,NM_053278.3
TAAR9,NM_175057.4
TAB1,NM_006116.3
TAB2,NM_001292034.3
TAB3,NM_152787.5
TAC3,NM_013251.4
TAC4,NM_001077506.2
TACC1,NM_006283.3
TACC2,NM_206862.4
TACC3,NM_006342.3
TACO1,NM_016360.4
TACR2,NM_001057.3
TACR3,NM_001059.3
TACSTD2,NM_002353.3
TADA2B,NM_152293.3
TAF1,NM_004606.5
TAF10,NM_006284.4
TAF13,NM_005645.4
TAF15,NM_139215.3
TAF1A,NM_005681.4
TAF1B,NM_005680.3
TAF1C,NM_001243156.2
TAF1D,NM_024116.4
TAF1L,NM_153809.2
TAF2,NM_003184.4
TAF3,NM_031923.4
TAF4,NM_003185.4
TAF4B,NM_005640.3
TAF6,NM_139315.3
TAF6L,NM_006473.4
TAF7L,NM_001168474.2
TAF8,NM_138572.3
TAFA3,NM_182759.3
TAFAZZIN,NM_000116.5
TAGAP,NM_054114.5
TAGLN,NM_003186.5
TAL1,NM_001290403.2
TALDO1,NM_006755.2
TAMALIN,NM_181711.4
TAMM41,NM_001284401.2
TANC1,NM_033394.3
TANC2,NM_001394998.1
TANGO2,NM_152906.7
TANGO6,NM_024562.2
TANK,NM_001199135.3
TAOK1,NM_020791.4
TAOK2,NM_016151.4
TAP1,NM_000593.6
TAP2,NM_001290043.2
TAPBP,NM_003190.5
TAPBPL,NM_018009.5
TAPT1,NM_153365.3
TARBP1,NM_005646.4
TARDBP,NM_007375.4
TARM1,NM_001135686.3
TARS1,NM_152295.5
TARS2,NM_025150.5
TARS3,NM_152334.3
TAS1R1,NM_138697.4
TAS1R2,NM_152232.6
TAS1R3,NM_152228.3
TAS2R1,NM_019599.3
TAS2R10,NM_023921.2
TAS2R13,NM_023920.2
TAS2R14,NM_023922.2
TAS2R16,NM_016945.3
TAS2R20,NM_176889.4
TAS2R3,NM_016943.2
TAS2R30,NM_001097643.2
TAS2R31,NM_176885.2
TAS2R38,NM_176817.5
TAS2R39,NM_176881.2
TAS2R4,NM_016944.2
TAS2R40,NM_176882.2
TAS2R41,NM_176883.2
TAS2R42,NM_181429.2
TAS2R43,NM_176884.2
TAS2R46,NM_176887.2
TAS2R5,NM_018980.3
TAS2R50,NM_176890.2
TAS2R60,NM_177437.1
TAS2R7,NM_023919.2
TAS2R8,NM_023918.3
TAS2R9,NM_023917.2
TASL,NM_025159.3
TASOR,NM_001365635.2
TASOR2,NM_001321783.2
TASP1,NM_017714.3
TAT,NM_000353.3
TATDN2,NM_014760.4
TATDN3,NM_001042552.3
TAX1BP1,NM_006024.7
TAX1BP3,NM_014604.4
TBATA,NM_001318241.2
TBC1D1,NM_001396959.1
TBC1D10A,NM_031937.3
TBC1D10B,NM_015527.4
TBC1D10C,NM_001369496.1
TBC1D12,NM_015188.2
TBC1D14,NM_020773.3
TBC1D15,NM_001146213.3
TBC1D16,NM_019020.4
TBC1D17,NM_024682.3
TBC1D2,NM_001267571.2
TBC1D20,NM_144628.4
TBC1D21,NM_153356.3
TBC1D22A,NM_014346.5
TBC1D23,NM_001199198.3
TBC1D24,NM_001199107.2
TBC1D26,NM_001388465.1
TBC1D28,NM_001039397.3
TBC1D2B,NM_144572.2
TBC1D30,NM_015279.2
TBC1D31,NM_145647.4
TBC1D32,NM_152730.6
TBC1D3B,NM_001001417.7
TBC1D3C,NM_001001418.6
TBC1D3F,NM_032258.5
TBC1D3I,NM_001291463.2
TBC1D4,NM_014832.5
TBC1D5,NM_001349074.2
TBC1D7,NM_016495.6
TBC1D8,NM_001330348.2
TBC1D8B,NM_017752.3
TBC1D9,NM_015130.3
TBC1D9B,NM_015043.4
TBCA,NM_004607.3
TBCCD1,NM_018138.5
TBCD,NM_005993.5
TBCE,NM_003193.5
TBCEL,NM_001363644.2
TBCK,NM_001163435.3
TBK1,NM_013254.4
TBKBP1,NM_001394755.1
TBL1X,NM_005647.4
TBL1XR1,NM_024665.7
TBL1Y,NM_033284.2
TBL2,NM_012453.4
TBL3,NM_006453.3
TBP,NM_003194.5
TBR1,NM_006593.4
TBRG1,NM_032811.3
TBRG4,NM_004749.4
TBX1,NM_001379200.1
TBX10,NM_005995.5
TBX15,NM_001330677.2
TBX18,NM_001080508.3
TBX19,NM_005149.3
TBX2,NM_005994.4
TBX20,NM_001077653.2
TBX21,NM_013351.2
TBX22,NM_001109878.2
TBX3,NM_005996.4
TBX4,NM_001321120.2
TBX5,NM_181486.4
TBX6,NM_004608.4
TBXA2R,NM_001060.6
TBXAS1,NM_001061.7
TBXT,NM_001366285.2
TC2N,NM_001128596.3
TCAF1,NM_014719.3
TCAF2,NM_001363538.2
TCAIM,NM_173826.4
TCAP,NM_003673.4
TCEA2,NM_003195.6
TCEAL1,NM_004780.3
TCEAL2,NM_080390.4
TCEAL4,NM_001006935.3
TCEAL6,NM_001367790.1
TCEAL8,NM_153333.3
TCEANC,NM_001297563.2
TCERG1,NM_001382548.1
TCERG1L,NM_174937.4
TCF12,NM_207037.2
TCF15,NM_004609.4
TCF19,NM_007109.3
TCF20,NM_001378418.1
TCF21,NM_003206.4
TCF23,NM_175769.3
TCF25,NM_014972.3
TCF3,NM_003200.5
TCF4,NM_001083962.2
TCF7L1,NM_031283.3
TCF7L2,NM_001367943.1
TCFL5,NM_006602.4
TCHH,NM_007113.4
TCHHL1,NM_001008536.2
TCIRG1,NM_006019.4
TCL1A,NM_021966.3
TCL1B,NM_004918.4
TCN1,NM_001062.4
TCN2,NM_000355.4
TCOF1,NM_001371623.1
TCP1,NM_030752.3
TCP11L2,NM_152772.3
TCTE1,NM_182539.4
TCTN1,NM_001082538.3
TCTN2,NM_024809.5
TCTN3,NM_015631.6
TDO2,NM_005651.4
TDP1,NM_018319.4
TDP2,NM_016614.3
TDRD1,NM_001395205.1
TDRD12,NM_001366102.1
TDRD3,NM_001146070.2
TDRD5,NM_001199085.3
TDRD6,NM_001010870.3
TDRD7,NM_014290.3
TDRD9,NM_153046.3
TDRKH,NM_001083965.2
TDRP,NM_001384899.1
TEAD1,NM_021961.6
TEAD2,NM_001256660.2
TEAD4,NM_003213.4
TECPR1,NM_015395.3
TECPR2,NM_014844.5
TECRL,NM_001010874.5
TECTA,NM_005422.4
TECTB,NM_058222.3
TEDC1,NM_001367178.1
TEDDM1,NM_172000.4
TEK,NM_000459.5
TEKT1,NM_053285.2
TEKT2,NM_014466.3
TEKT4,NM_144705.4
TEKT5,NM_144674.2
TEKTIP1,NM_001135580.2
TELO2,NM_016111.4
TENM1,NM_001163278.2
TENM2,NM_001395460.1
TENM3,NM_001080477.4
TENM4,NM_001098816.3
TENT4A,NM_006999.6
TENT4B,NM_001365324.3
TENT5A,NM_017633.3
TENT5B,NM_052943.4
TENT5C,NM_017709.4
TENT5D,NM_152630.5
TEP1,NM_007110.5
TEPSIN,NM_001363764.2
TERB1,NM_001136505.2
TERB2,NM_152448.3
TERF1,NM_017489.3
TERF2,NM_005652.5
TERF2IP,NM_018975.4
TERT,NM_198253.3
TESC,NM_017899.4
TESK1,NM_006285.3
TESK2,NM_007170.3
TESPA1,NM_001136030.3
TET1,NM_030625.3
TET2,NM_001127208.3
TET3,NM_001287491.2
TEX101,NM_001130011.3
TEX11,NM_031276.3
TEX13A,NM_031274.5
TEX13C,NM_001195272.2
TEX13D,NM_001355534.2
TEX14,NM_031272.5
TEX15,NM_001350162.2
TEX2,NM_001288732.2
TEX22,NM_001195082.2
TEX26,NM_152325.3
TEX29,NM_152324.3
TEX38,NM_001145474.4
TF,NM_001063.4
TFAM,NM_003201.3
TFAP2A,NM_001372066.1
TFAP2B,NM_003221.4
TFAP4,NM_003223.3
TFB1M,NM_016020.4
TFB2M,NM_022366.3
TFCP2L1,NM_014553.3
TFDP1,NM_007111.5
TFE3,NM_006521.6
TFEB,NM_001271944.2
TFEC,NM_012252.4
TFF2,NM_005423.5
TFF3,NM_003226.4
TFG,NM_006070.6
TFPI,NM_006287.6
TFPI2,NM_006528.4
TFR2,NM_003227.4
TFRC,NM_001128148.3
TG,NM_003235.5
TGDS,NM_014305.4
TGFA,NM_003236.4
TGFB1,NM_000660.7
TGFB2,NM_003238.6
TGFB3,NM_003239.5
TGFBI,NM_000358.3
TGFBR1,NM_004612.4
TGFBR2,NM_003242.6
TGFBR3,NM_003243.5
TGFBRAP1,NM_004257.6
TGIF1,NM_003244.4
TGM1,NM_000359.3
TGM2,NM_004613.4
TGM3,NM_003245.4
TGM4,NM_003241.4
TGM5,NM_201631.4
TGM6,NM_198994.3
TGM7,NM_052955.3
TGS1,NM_024831.8
TH,NM_000360.4
THADA,NM_022065.5
THAP1,NM_018105.3
THAP11,NM_020457.3
THAP3,NM_001195753.2
THAP4,NM_015963.6
THAP5,NM_001130475.3
THAP8,NM_152658.3
THAP9,NM_024672.6
THBD,NM_000361.3
THBS1,NM_003246.4
THBS2,NM_003247.5
THBS4,NM_003248.6
THEM4,NM_053055.5
THEM5,NM_182578.4
THEMIS,NM_001010923.3
THEMIS2,NM_001105556.3
THG1L,NM_017872.5
THNSL2,NM_018271.5
THOC1,NM_005131.3
THOC2,NM_001081550.2
THOC5,NM_003678.5
THOC6,NM_024339.5
THOP1,NM_003249.5
THPO,NM_000460.4
THRA,NM_199334.5
THRAP3,NM_005119.4
THRB,NM_001354712.2
THRSP,NM_003251.4
THSD1,NM_018676.4
THSD4,NM_024817.3
THSD7A,NM_015204.3
THSD7B,NM_001316349.2
THUMPD1,NM_017736.5
THUMPD2,NM_025264.5
THUMPD3,NM_001114092.2
THY1,NM_006288.5
THYN1,NM_014174.3
TIA1,NM_022173.4
TIAM1,NM_001353694.2
TIAM2,NM_012454.4
TICAM1,NM_182919.4
TICAM2,NM_021649.7
TICRR,NM_152259.4
TIE1,NM_005424.5
TIFAB,NM_001099221.2
TIGAR,NM_020375.3
TIGD3,NM_145719.3
TIGD4,NM_145720.4
TIGD5,NM_032862.5
TIGD6,NM_030953.4
TIGD7,NM_033208.4
TIGIT,NM_173799.4
TIMD4,NM_138379.3
TIMELESS,NM_003920.5
TIMM17B,NM_001395498.1
TIMM21,NM_014177.3
TIMM22,NM_013337.4
TIMM44,NM_006351.4
TIMM50,NM_001001563.5
TIMM8A,NM_004085.4
TIMMDC1,NM_016589.4
TIMP1,NM_003254.3
TIMP3,NM_000362.5
TIMP4,NM_003256.4
TINAG,NM_014464.4
TINAGL1,NM_022164.3
TINF2,NM_001099274.3
TIRAP,NM_001318777.2
TJAP1,NM_001350562.2
TJP1,NM_001330239.4
TJP2,NM_004817.4
TJP3,NM_001267560.2
TK2,NM_004614.5
TKFC,NM_015533.4
TKT,NM_001064.4
TKTL1,NM_012253.4
TKTL2,NM_032136.5
TLCD3A,NM_024792.3
TLCD3B,NM_031478.6
TLCD5,NM_001198671.2
TLDC2,NM_080628.3
TLE2,NM_003260.5
TLE6,NM_001143986.2
TLK2,NM_006852.6
TLL1,NM_012464.5
TLL2,NM_012465.4
TLN1,NM_006289.4
TLN2,NM_015059.3
TLNRD1,NM_022566.3
TLR1,NM_003263.4
TLR10,NM_030956.4
TLR2,NM_001318789.2
TLR3,NM_003265.3
TLR4,NM_138554.5
TLR5,NM_003268.6
TLR6,NM_006068.5
TLR7,NM_016562.4
TLR8,NM_138636.5
TLR9,NM_017442.4
TLX1,NM_005521.4
TLX2,NM_016170.5
TM2D2,NM_078473.3
TM4SF19,NM_138461.4
TM4SF20,NM_024795.4
TM4SF4,NM_004617.4
TM6SF2,NM_001001524.3
TM7SF3,NM_016551.3
TM9SF2,NM_004800.3
TM9SF4,NM_014742.4
TMA16,NM_018352.3
TMBIM1,NM_022152.6
TMC1,NM_138691.3
TMC2,NM_080751.3
TMC3,NM_001080532.3
TMC4,NM_144686.4
TMC5,NM_001261841.2
TMC6,NM_001127198.5
TMC7,NM_024847.4
TMC8,NM_152468.5
TMCC1,NM_001017395.5
TMCC2,NM_014858.4
TMCC3,NM_020698.4
TMCO1,NM_019026.6
TMCO3,NM_017905.6
TMCO4,NM_181719.7
TMCO6,NM_018502.5
TMED3,NM_007364.4
TMED4,NM_182547.4
TMED5,NM_016040.5
TMED6,NM_144676.4
TMED7,NM_181836.6
TMED8,NM_213601.3
TMED9,NM_017510.6
TMEFF2,NM_016192.4
TMEM100,NM_018286.3
TMEM102,NM_178518.3
TMEM104,NM_017728.4
TMEM106A,NM_145041.4
TMEM106B,NM_001134232.2
TMEM107,NM_183065.4
TMEM108,NM_023943.4
TMEM109,NM_024092.3
TMEM116,NM_001193531.2
TMEM117,NM_032256.3
TMEM119,NM_181724.3
TMEM120B,NM_001080825.2
TMEM121,NM_025268.4
TMEM121B,NM_031890.4
TMEM123,NM_052932.3
TMEM125,NM_144626.3
TMEM126A,NM_032273.4
TMEM126B,NM_018480.7
TMEM127,NM_017849.4
TMEM129,NM_001127266.2
TMEM130,NM_152913.3
TMEM131,NM_015348.2
TMEM131L,NM_001131007.2
TMEM132A,NM_178031.3
TMEM132B,NM_001366854.1
TMEM132C,NM_001136103.3
TMEM132D,NM_133448.3
TMEM132E,NM_001304438.2
TMEM134,NM_025124.4
TMEM135,NM_022918.4
TMEM138,NM_016464.5
TMEM139,NM_001282876.2
TMEM140,NM_018295.5
TMEM145,NM_173633.3
TMEM147,NM_032635.4
TMEM14B,NM_030969.5
TMEM14C,NM_016462.4
TMEM150B,NM_001282011.2
TMEM151A,NM_153266.4
TMEM151B,NM_001137560.2
TMEM154,NM_152680.3
TMEM156,NM_024943.3
TMEM161A,NM_017814.3
TMEM161B,NM_153354.5
TMEM163,NM_030923.5
TMEM164,NM_032227.4
TMEM165,NM_018475.5
TMEM168,NM_022484.6
TMEM171,NM_173490.8
TMEM174,NM_153217.3
TMEM175,NM_032326.4
TMEM176A,NM_018487.3
TMEM176B,NM_001101312.2
TMEM18,NM_152834.4
TMEM181,NM_001376852.1
TMEM183A,NM_138391.6
TMEM184A,NM_001097620.2
TMEM184B,NM_012264.5
TMEM185A,NM_032508.4
TMEM185B,NM_024121.3
TMEM186,NM_015421.4
TMEM187,NM_003492.3
TMEM19,NM_018279.4
TMEM190,NM_139172.3
TMEM199,NM_152464.3
TMEM200C,NM_001395400.1
TMEM201,NM_001130924.3
TMEM202,NM_001080462.3
TMEM204,NM_024600.6
TMEM207,NM_207316.3
TMEM209,NM_032842.4
TMEM212,NM_001164436.2
TMEM213,NM_001085429.2
TMEM214,NM_017727.5
TMEM215,NM_212558.3
TMEM216,NM_001173990.3
TMEM217,NM_001286401.2
TMEM218,NM_001258244.2
TMEM219,NM_001083613.2
TMEM220,NM_001004313.3
TMEM221,NM_001190844.2
TMEM222,NM_032125.3
TMEM225,NM_001013743.3
TMEM229A,NM_001136002.2
TMEM230,NM_001009925.2
TMEM231,NM_001077418.3
TMEM232,NM_001039763.4
TMEM233,NM_001136534.3
TMEM235,NM_001395503.1
TMEM236,NM_001098844.3
TMEM237,NM_001044385.3
TMEM238,NM_001190764.2
TMEM240,NM_001114748.2
TMEM242,NM_018452.6
TMEM244,NM_001010876.2
TMEM245,NM_032012.4
TMEM247,NM_001424184.1
TMEM25,NM_032780.4
TMEM252,NM_153237.2
TMEM253,NM_001395467.1
TMEM254,NM_025125.4
