,Pair,Count_overall,Count_clm,Count_plm,Freq_overall,Freq_clm,Freq_plm,BR_clm,BR_plm,pvalue_clm_raw,pvalue_clm_corrected,significant_clm,pvalue_plm_raw,pvalue_plm_corrected,significant_plm
22,"('V', 'I')",3951,223,25,0.028765926465234803,0.025092832226848206,0.002167128987517337,0.8723109355498864,0.07533666576449158,0.25217477555412654,0.38208299326382805,False,2.8401019671354434e-64,8.52030590140633e-63,True
23,"('H', 'L')",174,10,21,0.0012668365489625045,0.0011252391133115788,0.0018203883495145632,0.8882275414560078,1.4369559758955475,0.9810242267167648,1.0,False,0.04653399365397675,0.06523457054295806,False
24,"('N', 'Y')",160,19,15,0.0011649071714597743,0.0021379543152919996,0.0013002773925104023,1.835300157533476,1.1162068741331486,0.003669813013376234,0.011009439040128704,False,0.5341037178528278,0.6023726141197306,False
25,"('I', 'M')",587,32,14,0.004273753185293047,0.003600765162597052,0.0012135922330097086,0.8425299745872318,0.28396404293676913,0.581963520384521,0.7214423806419682,False,1.6436056283303358e-06,3.7539138436725506e-06,True
26,"('S', 'I')",237,14,15,0.0017255187477247906,0.0015753347586362101,0.0013002773925104023,0.9129629919775674,0.7535573833810285,1.0,1.0,False,0.4860318718247172,0.5565250440741036,False
27,"('V', 'E')",179,14,40,0.0013032398980706225,0.0015753347586362101,0.0034674063800277394,1.2087834027859412,2.6606048396469832,0.41197516533765144,0.5369933804346674,False,7.616901465275347e-13,3.4622279387615214e-12,True
28,"('C', 'Y')",1120,77,159,0.00815435020021842,0.008664341172499156,0.013782940360610264,1.0625421964667494,1.6902561236873392,0.2916848899088056,0.41976016502345775,False,9.609142028733934e-16,5.338412238185519e-15,True
29,"('G', 'C')",526,34,62,0.003829632326174008,0.0038258129852593676,0.005374479889042996,0.9990026873105973,1.4033931801521968,0.7801380604113972,0.8798549553511998,False,0.000709926248462812,0.0012986455764563635,True
30,"('Y', 'D')",173,18,34,0.001259555879140881,0.0020254304039608417,0.0029472954230235784,1.6080512484625524,2.3399481292039797,0.02614025822850948,0.058522966183230184,False,1.0873650254948215e-08,3.22006301309293e-08,True
31,"('D', 'V')",487,46,49,0.003545686203130688,0.005176099921233262,0.00424757281553398,1.4598302344587033,1.1979550846274993,0.002532506558840314,0.007752571098490758,True,0.06794239089834113,0.09436443180325157,False
