pair_id,Gene,DMS_dataset,CBGE_dataset,model_short,platform,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,DMS,9,0.17,2.2716826594189565,2.2218938968382647,0.16689592755470464
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,DMS,10,0.155,2.4022223060730066,2.296320003262984,0.14918622231414466
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,CBGE,1,0.52,2.3639351773249104,2.3110469336806636,0.5143499753806174
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,CBGE,2,0.41,2.4009748497307544,2.182201935706374,0.38710307071096595
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,CBGE,3,0.14,2.484292710940121,2.3873726980840844,0.1352770240718935
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,CBGE,4,0.42,2.3253646130065504,2.2470769638224906,0.41168113147044627
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,CBGE,5,0.41,2.405075312006711,2.380616129152966,0.4075296199965501
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,CBGE,6,0.41,2.3447163745605253,2.2641771193254763,0.4015722257986866
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,CBGE,7,0.115,2.417214962126739,2.3754939243214324,0.11323987372525626
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,CBGE,8,0.41,2.3679853310139634,2.2671208273894337,0.3995131094540917
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,CBGE,9,0.43,2.2716826594189565,2.2218938968382647,0.42457700330445486
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,150M,CBGE,10,0.41,2.4022223060730066,2.296320003262984,0.399139502544468
