ensemble,fold,component,training_score_sd,raw_weight,standardized_equivalent_weight,weight_difference,max_heldout_affine_equivalence_error
ESM-2 650M + ESM-1b 650M + CaLM,8,ESM-2 650M,3.625706967935754,0.3,0.282877459831291,-0.01712254016870901,1.1102230246251565e-15
ESM-2 650M + ESM-1b 650M + CaLM,8,ESM-1b 650M,4.553763043585082,0.45,0.5329265163324896,0.08292651633248954,1.1102230246251565e-15
ESM-2 650M + ESM-1b 650M + CaLM,8,CaLM,2.8330605378909017,0.2499999999999999,0.18419602383621936,-0.06580397616378053,1.1102230246251565e-15
ESM-2 150M + ESM-2 650M,9,ESM-2 150M,2.8412042717657258,0.15,0.12178737890186293,-0.02821262109813706,8.881784197001252e-16
ESM-2 150M + ESM-2 650M,9,ESM-2 650M,3.6155317760219132,0.85,0.878212621098137,0.028212621098137047,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M,9,ESM-2 650M,3.6155317760219132,0.39,0.33810057838182966,-0.05189942161817035,1.1102230246251565e-15
ESM-2 650M + ESM-1b 650M,9,ESM-1b 650M,4.5253590510004065,0.61,0.6618994216181703,0.051899421618170294,1.1102230246251565e-15
ESM-2 150M + CaLM,9,ESM-2 150M,2.8412042717657258,0.47,0.47223929307357326,0.0022392930735732897,1.7763568394002505e-15
ESM-2 150M + CaLM,9,CaLM,2.815784279970277,0.53,0.5277607069264267,-0.0022392930735732897,1.7763568394002505e-15
ESM-2 650M + CaLM,9,ESM-2 650M,3.6155317760219132,0.54,0.6011695856303813,0.06116958563038122,8.881784197001252e-16
ESM-2 650M + CaLM,9,CaLM,2.815784279970277,0.46,0.3988304143696188,-0.06116958563038122,8.881784197001252e-16
ESM-1b 650M + CaLM,9,ESM-1b 650M,4.5253590510004065,0.63,0.7323685269587904,0.1023685269587904,1.3322676295501878e-15
ESM-1b 650M + CaLM,9,CaLM,2.815784279970277,0.37,0.26763147304120954,-0.10236852695879045,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M + CaLM,9,ESM-2 650M,3.6155317760219132,0.3,0.28356984634822924,-0.01643015365177075,1.7763568394002505e-15
ESM-2 650M + ESM-1b 650M + CaLM,9,ESM-1b 650M,4.5253590510004065,0.45,0.5323927918183132,0.08239279181831322,1.7763568394002505e-15
ESM-2 650M + ESM-1b 650M + CaLM,9,CaLM,2.815784279970277,0.2499999999999999,0.18403736183345765,-0.06596263816654224,1.7763568394002505e-15
ESM-2 150M + ESM-2 650M,10,ESM-2 150M,2.8669935910907616,0.15,0.1224391087767674,-0.02756089122323259,8.881784197001252e-16
ESM-2 150M + ESM-2 650M,10,ESM-2 650M,3.6262367609375703,0.85,0.8775608912232326,0.027560891223232575,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M,10,ESM-2 650M,3.6262367609375703,0.38,0.3273027744368368,-0.0526972255631632,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M,10,ESM-1b 650M,4.567914991957561,0.62,0.6726972255631632,0.05269722556316325,1.3322676295501878e-15
ESM-2 150M + CaLM,10,ESM-2 150M,2.8669935910907616,0.47,0.4717194382094486,0.0017194382094486427,8.881784197001252e-16
ESM-2 150M + CaLM,10,CaLM,2.847276009195937,0.53,0.5282805617905513,-0.0017194382094487537,8.881784197001252e-16
ESM-2 650M + CaLM,10,ESM-2 650M,3.6262367609375703,0.54,0.5992101880490861,0.059210188049086065,8.881784197001252e-16
ESM-2 650M + CaLM,10,CaLM,2.847276009195937,0.46,0.4007898119509139,-0.05921018804908612,8.881784197001252e-16
ESM-1b 650M + CaLM,10,ESM-1b 650M,4.567914991957561,0.64,0.7404018568713704,0.10040185687137038,8.881784197001252e-16
ESM-1b 650M + CaLM,10,CaLM,2.847276009195937,0.36,0.2595981431286296,-0.10040185687137038,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,10,ESM-2 650M,3.6262367609375703,0.25,0.23754901395324476,-0.012450986046755236,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,10,ESM-1b 650M,4.567914991957561,0.45,0.5386263481003851,0.08862634810038511,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,10,CaLM,2.847276009195937,0.3,0.22382463794637011,-0.07617536205362987,8.881784197001252e-16
