gene,model,mean_raw_calm_weight,sd_raw_calm_weight,mean_standardized_equivalent_calm_weight,sd_standardized_equivalent_calm_weight
FZD4,ESM-2 650M + CaLM,0.44000000000000006,0.23494680248941457,0.3795019084141275,0.24417755954856704
GAA,ESM-1b 650M + CaLM,0.25,0.0,0.23719014186991746,0.006397831214990315
GAA,ESM-2 650M + CaLM,0.21000000000000002,0.16401219466856726,0.1945740495773972,0.15334326942438636
GABBR2,ESM-1b 650M + CaLM,0.028000000000000004,0.025884358211089573,0.015530827158643807,0.014464983743993997
GABBR2,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
GABRA1,ESM-1b 650M + CaLM,0.5820000000000001,0.19979989989987487,0.4735534423526288,0.18528621738833356
GABRA1,ESM-2 650M + CaLM,0.648,0.08136338242723197,0.6241604548148093,0.08370105943743222
GABRA2,ESM-1b 650M + CaLM,0.156,0.3488266044899672,0.13274780221581284,0.2968331096182547
GABRA2,ESM-2 650M + CaLM,0.10200000000000001,0.22807893370497853,0.09687849169294886,0.21662689298308233
GABRB2,ESM-1b 650M + CaLM,0.24,0.13435028842544403,0.15952259240909852,0.0928796942442948
GABRB2,ESM-2 650M + CaLM,0.43,0.09695359714832658,0.3847773832783113,0.08773432101357709
GABRB3,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
GABRB3,ESM-2 650M + CaLM,0.518,0.20425474290698858,0.4857761245895717,0.2011697922584469
GABRG2,ESM-1b 650M + CaLM,0.396,0.3614968879534097,0.3235112994096456,0.2954071677674531
GABRG2,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
GALC,ESM-1b 650M + CaLM,0.024,0.03130495168499706,0.012502609155699762,0.016781470681106567
GALC,ESM-2 650M + CaLM,0.154,0.07797435475847171,0.10578885549062651,0.05745441113256132
GALNS,ESM-1b 650M + CaLM,0.128,0.16769019053003667,0.10324880994353378,0.13623464556946227
GALNS,ESM-2 650M + CaLM,0.378,0.02683281572999747,0.3908318298630379,0.02550907518032934
GAMT,ESM-1b 650M + CaLM,0.012,0.010954451150103323,0.008503479497047611,0.00777404892339916
GAMT,ESM-2 650M + CaLM,0.23399999999999999,0.0937016542009798,0.24445776518217915,0.09881642041001683
GARS1,ESM-1b 650M + CaLM,0.34199999999999997,0.2238749651032915,0.2874191378410861,0.20234014104748438
GARS1,ESM-2 650M + CaLM,0.7100000000000001,0.10440306508910553,0.6540350749492415,0.11482698286946853
GATA1,ESM-1b 650M + CaLM,0.784,0.08049844718999245,0.67042585940573,0.10196617412555205
GATA1,ESM-2 650M + CaLM,0.76,0.04242640687119287,0.7682043449776768,0.03559642513558687
GATA2,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
GATA2,ESM-2 650M + CaLM,0.546,0.2389142105442872,0.5258673054815678,0.2427214126455608
GATA4,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
GATA4,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
GBA2,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
GBA2,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
GBE1,ESM-1b 650M + CaLM,0.506,0.30336446726668564,0.43750617753545207,0.2698542481713033
GBE1,ESM-2 650M + CaLM,0.22800000000000004,0.3130015974400131,0.2077683492385543,0.28902403750345473
